conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.86E+23,Thu Nov 14 23:33:00 +0000 2024,5230,naik 1% doang dari 11% ke PPN 12% kedengeran dikit? yang biasa belanja 3jt/bulan: naik 30rb = setara 3kg beras atau ongkos transport 3 hari ‍️ kalau penghasilanmu gak naik artinya jumlah beras yang bisa terbeli berkurang. atau ada alokasi pengeluaran lain harus dialihkan https://t.co/C8TJL3HZJU,1.86E+23,https://pbs.twimg.com/media/GcYKeoxXAAAbXzY.jpg,,in,London · Malang,213,162,3546,https://x.com/ikhwanuddin/status/1857205119772946778,1976991588,ikhwanuddin
1.86E+22,Thu Nov 14 22:59:37 +0000 2024,10,Presiden Prabowo tetap memantau kondisi dalam negeri di tengah kunjungan ke AS. Presiden Prabowo menggelar rapat terbatas melalui video conference (vidcon) dengan beberapa jajaran Kabinet Merah Putih pada 12/11/2024 kemarin. __ Jepang Aliando #TimnasDay Sehun PPN 12% #JumatBerkah https://t.co/gZ2ZVYgfqy,1.86E+22,https://pbs.twimg.com/ext_tw_video_thumb/1857196607978213376/pu/img/-tL1nxComFUz8RBp.jpg,,in,"Jawa Timur, Indonesia",1,6,10,https://x.com/Hansunriko/status/1857196719412490464,1.35E+23,Hansunriko
1.86E+23,Thu Nov 14 22:50:12 +0000 2024,0,@sisthaaaaa ini contoh fasilitas negara ppn 11% mau ke 12% kak... Fasilitas mode survival,1.86E+23,,sisthaaaaa,in,Zimbabwe,0,0,0,https://x.com/RezaF4H/status/1857194348389236957,82651315,RezaF4H
1.86E+23,Thu Nov 14 21:25:32 +0000 2024,2,@Tanto19 @ernestprakasa Siap salah Btw kenaikan PPN dari 11 ke 12% benar kenaikannya 9%. Tapi yg konsumen lihat dan bayar kan dari total harga keseluruhan (harga barang+PPN). Cuma pengen gambarin sih gak sesimpel dari 11 naik jadi 12% ah dikit doang,1.86E+23,,Tanto19,in,,0,0,0,https://x.com/sunnyflow8822/status/1857173041031311794,1.73E+23,sunnyflow8822
1.86E+23,Thu Nov 14 16:56:19 +0000 2024,0,Paling ngeri itu klo rakyat hanya bisa diam tapi memendam kekecewaan terhadap kezaliman penguasa ibarat jerami kering yg siap terbakar kapan saja menyimpan bom waktu Janganlah rakyat dibebani lagi PPN naik jadi 12% kenaikan 11 ke 12% itu seperti menaikkan harga2 hampir 10%,1.86E+23,,,in,Dihatimu,0,0,0,https://x.com/owireborn/status/1857105292414062836,1.80E+23,owireborn
1.86E+23,Thu Nov 14 15:49:02 +0000 2024,0,Blm lama kan ppn naik ke 11% ini mau naik ke 12% saatt negara kere banyakan di korupsi,1.86E+23,,,in,,0,0,0,https://x.com/Dinayyss/status/1857088360692559919,242491098,Dinayyss
1.86E+23,Thu Nov 14 14:48:38 +0000 2024,0,@ernestprakasa Bertahun2 kita aman hidup dengan PPN 10% koq bisa hanya dalam bbrp tahun langsung naik dari 11% ke 12% sih? Nyusah2in saya ngitung pajaknya tau,1.86E+23,,ernestprakasa,in,,0,0,0,https://x.com/Ariz8881/status/1857073158420824296,1.24E+21,Ariz8881
1.86E+23,Thu Nov 14 14:43:12 +0000 2024,0,Ppn naik dari 10% ke 11 % itu jaraknya dari pertama gw bisa beli barang sendiri sampe baru taun2 kemaren kali Terus dari 11% naik ke 12% itu jaraknya kek.. gw beli parfum miniso 1 botol aja belum abis tau2 ppn udh naek aja gitu,1.86E+23,,,in,Republik Indonesia,0,0,0,https://x.com/Bimolie_/status/1857071789626581270,351443639,Bimolie_
1.86E+23,Thu Nov 14 14:38:54 +0000 2024,51,@sunnyflow8822 @ernestprakasa Naiknya 1% gimana itu naik 9%. Coba aja anda simulasi 100rb PPN 11% kan 11rb kalau 12% jadi 12rb. Dari 11rb ke 12rb itu naik 9%. Gaji dlm 5 thn naiknya dikit PPN dlm 3 thn 10% ke 12% artinya naik 20% kan gila. Scr tidak lgsg yah harga barang naik minimal 9% dgn PPN naik,1.86E+23,,sunnyflow8822,in,Jakarta Capital Region,1,3,7,https://x.com/Tanto19/status/1857070708557255041,77764779,Tanto19
1.86E+23,Thu Nov 14 14:24:01 +0000 2024,18,@ViantyTJP @ardisatriawan ngeri... aku tiap hari kerjanya dgn invoice yg dalamnya pasti ada ppn dan pph 23 pas ppn naik 11% aja dulu itu kerasa banget besarnya aplg ni 12%. jgn dikiranya aktual naik 11 ke 12 itu cuma 1% ya...,1.86E+23,,ViantyTJP,in,Milanisti Indonesia - 014,0,1,4,https://x.com/tiwtiwwie/status/1857066964117598296,149505083,tiwtiwwie
