conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.80E+23,Wed May 29 00:13:05 +0000 2024,18,Negara ga maju kok yg disalahin rkyatnya. Ngr maju itu krn para pemimpinnya smart amanah tegas adil bs tegakkan hukum &amp; bs mndidik rakyatnya. Soal pajak anda kira dlm hidup keseharian kt ga dibebani dg pajak? Itu hanya terkait dg cara kelola pajak &amp; sifat² pemimpin di atas.,1.80E+23,,,in,,0,2,4,https://x.com/taufik_q/status/1795609269779451992,175752154,taufik_q
1.79E+23,Tue May 28 21:00:54 +0000 2024,0,@pea_andre @prastow @opposite6892 seandainya 17jt utk beli produk tas dalam negeri ya nilai ekonomi domestik bisa mentereng terangkat tuh . Nah itulah guna pajak 46% utk impor barang2 yg industrinya dilindungi. Dengan sifatnya yg adil pajaknya akan disalurkan ke industri terdampak. Eh impor buku 0% lho btw,1.80E+23,,pea_andre,in,"Kota Surabaya, Jawa Timur",0,1,0,https://x.com/refmaltise/status/1795560904500690986,1.71E+23,refmaltise
1.79E+23,Tue May 28 18:21:25 +0000 2024,0,@EricRicaldo Mereka bayar pajak fasilitas merata hukum adil pendidikan murah hak warga negara terpenuhi. Mau dibandingkan dengan negara Indonesia yang pejabatnya hanya mementingkan partai dan kelompok sendiri. Jalan di desa desa ancur fasilitas penerangan gelap! Keamanan apalagi. Ngaco!,1.80E+23,,EricRicaldo,in,Outer Space,0,0,0,https://x.com/Kotak_Berkat/status/1795520769528938690,1.13E+23,Kotak_Berkat
1.80E+22,Tue May 28 10:26:25 +0000 2024,0,Pajak sendiri bukanlah solusi tunggal untuk mengatasi ketimpangan sosial tetapi merupakan bagian dari strategi yang lebih luas untuk membangun masyarakat yang lebih adil dan berkeadilan.,1.80E+22,,pajakbengkulu1,in,"Kota Bengkulu, Bengkulu",0,1,0,https://x.com/pajakbengkulu1/status/1795401234364682520,3187159544,pajakbengkulu1
1.80E+22,Tue May 28 10:23:39 +0000 2024,0,Selain itu kesadaran akan pentingnya pembayaran pajak yang adil dan kontribusi terhadap pembangunan negara juga harus ditanamkan di masyarakat.,1.80E+22,,pajakbengkulu1,in,"Kota Bengkulu, Bengkulu",0,1,0,https://x.com/pajakbengkulu1/status/1795400537346900434,3187159544,pajakbengkulu1
1.80E+22,Tue May 28 10:23:38 +0000 2024,0,Penerapan pajak progresif yg adil dapat membantu mengurangi ketimpangan pendapatan dan meningkatkan keadilan sosial. Namun jika sistem perpajakan inefektif atau tidak adil Kurva Lorenz akan tetap jauh dari garis diagonal menunjukkan ketimpangan distribusi kekayaan yg tinggi.,1.80E+22,,pajakbengkulu1,in,"Kota Bengkulu, Bengkulu",0,1,0,https://x.com/pajakbengkulu1/status/1795400533421052370,3187159544,pajakbengkulu1
1.80E+23,Tue May 28 09:10:47 +0000 2024,0,Kebijakan pajak yang tidak adil sering kali lebih membebani masyarakat berpenghasilan rendah dibandingkan mereka yang kaya.,1.80E+23,,,in,Indonesia,1,0,0,https://x.com/alamteGarr/status/1795382197794553878,931942638,alamteGarr
1.80E+23,Tue May 28 08:51:35 +0000 2024,2,@ARSIPAJA Bpk di angkat jd menteri karena di percaya bisa mencri kebijakan yg adil gimana cara supaya kebijakan yg adil itu terwujud nyata. Jadi gpp yaa Pak kalo ditagih org² yg bayar pajak :),1.80E+23,,ARSIPAJA,in,In My Room,0,0,0,https://x.com/NiaArmiani17/status/1795377365310452220,2300619708,NiaArmiani17
1.80E+23,Tue May 28 08:25:19 +0000 2024,541,@fadlicuy Saya milih harsh winter kak. Bad government bencananya menimpa banyak orang ga adil dan generasi selanjutnya ikut terancam juga Good governance menjaga masyarakatnya. Saya ga masalah bayar pajak mahal ke good government karena keliatan hasilnya untuk keadilan semua #eaa,1.80E+23,,fadlicuy,in,"Tromsø, Norway",1,3,90,https://x.com/rykarlsen/status/1795370756576329760,165094284,rykarlsen
1.80E+23,Tue May 28 07:21:05 +0000 2024,1,@yaniarsim @jokowi @jokowi daripada urusin tapera ada yang jauh lebih penting yang bapak perlu lakukan yaitu penegakan hukum yang amburadul pajak yang masih tidak adil...bapak potong 3% dari gaji mau sampai kapan bisa kebeli rumah...,1.80E+23,,yaniarsim,in,,0,0,0,https://x.com/stlasmono/status/1795354592542421101,55171351,stlasmono
1.79E+23,Tue May 28 05:53:00 +0000 2024,0,@IrawanRommi Ya udah biar adil tarif toll pajak n tdl ikut jaman pak SBY gmn?,1.80E+23,,IrawanRommi,in,,0,0,0,https://x.com/JoyTip243774/status/1795332425977086169,1.70E+23,JoyTip243774
1.80E+23,Tue May 28 05:19:02 +0000 2024,3,@tempodotco Fokus dimasalah utama.. Pemberantasan korupsi penegakan hukum yang adil... Niscaya negara pendapatannya meningkat drastis tanpa menambah nambhkan pajak dan pungutan lain kepada rakyat kecil...,1.80E+23,,tempodotco,in,,0,0,0,https://x.com/fandoyy/status/1795323878488834527,464573436,fandoyy
1.80E+23,Tue May 28 04:11:31 +0000 2024,0,@ST_Burhanuddin Semoga bapa ini menjadi pelopor hukum yg adil di negeri ini berantas korupsi yg merugikan kita semua ryt sdh hampir habis harapan ryt kecil di tarik pajak tp hbs dikorupsi,1.80E+23,,ST_Burhanuddin,in,,0,0,0,https://x.com/Tembakoldilaut/status/1795306886008545684,2478573270,Tembakoldilaut
1.79E+23,Tue May 28 03:52:07 +0000 2024,0,@EricRicaldo Di Konoha yg gede malah dapt keringanan pajak .malah ada yg ngplang dan kolusi sama petugasnya..yg kecil diuber Uber suruh bayar ...kan gak adil,1.80E+22,,EricRicaldo,in,,0,0,0,https://x.com/AstoZahra7474/status/1795302004841120130,1.70E+23,AstoZahra7474
1.80E+23,Tue May 28 01:32:39 +0000 2024,0,Dikit2 memungut pajak lagi2 membebani rakyat. Sdgkan kalo rakyat melihat total tunjangan penguasa seolah putus dr asa. Adil memang belum tentu sama rata. Tp memakmurkan rakyat adl implementasi dr adil.,1.80E+23,,,in,"Blora, Indonesia",0,0,0,https://x.com/arisyogaa/status/1795266906414584246,83823804,arisyogaa
1.80E+23,Tue May 28 01:18:02 +0000 2024,10,@DrEvaChaniago Dengar² ada pajak utk tapera 2 apa 3℅ bagaimana kalau pejabat negara/BUMN anggota DPR dll nya kalau harta kekayaan nya naik lebih10℅ dipajakin 75℅ karena mereka kurang serius mengurus negara/pemerintah adil ngak ya salam sehat selalu,1.80E+23,,DrEvaChaniago,in,,0,0,1,https://x.com/aufa0303/status/1795263229603856886,8.05E+22,aufa0303
1.80E+23,Tue May 28 00:46:27 +0000 2024,0,@YooStoleMaHeart Mestinya mereka tambahkan lagi pajak super buat horang2 kaya. 3% diambil dari gaji 3jt dan gaji 50jt jelas beda dampaknya. Ga adil itu namanya.,1.80E+23,,YooStoleMaHeart,in,Internet,0,0,0,https://x.com/junlearnscrypto/status/1795255278612664435,1.00E+22,junlearnscrypto
1.79E+23,Mon May 27 20:04:34 +0000 2024,0,@MurtadhaOne1 Yg bayar pajak jalannya kaya gitu tapi dibayar pake pajak yg menikmati adil bgt kan lanjutkan,1.80E+23,,MurtadhaOne1,in,,0,0,0,https://x.com/areumdvwnme_/status/1795184341351313646,2738141861,areumdvwnme_
1.80E+23,Mon May 27 18:53:38 +0000 2024,1,Apalah rakyat kita belum membayar pajak mereka teriaki jargon melayani malah lempar sana lempar sini. Sungguh dunia terasa tak adil untuk kita yg sedikit bermateri. Katanya saling menghormati tapi nyatanya mereka hanya gila hormat setengah mati #ACAB,1.80E+23,,,in,"Bangkok, Thailand",0,0,0,https://x.com/aakbarss/status/1795166491609846130,629636181,aakbarss
1.80E+23,Mon May 27 16:46:05 +0000 2024,2,@Aryprasetyo85 Mulai otak atik buruh swasta buruh sdh dipotong Pajak Penghasilan /PPH21 mau cari duit dibungkus dg Peraturan .. Lagi lagi mau nyekek Buruh..... Ini Otaknya di mana ya...!!?,1.80E+23,,Aryprasetyo85,in,Jakarta Raya,0,0,1,https://x.com/adil_santoz/status/1795134392538480895,1.52E+23,adil_santoz
1.79E+23,Mon May 27 15:13:48 +0000 2024,0,@EricRicaldo Bayar pajak tinggi di luar negeri karna tingkat kepercayaan publik tinggi ke pemerintah. Tingkat korupsi renda sistem hukum jalan. Lah disini sistem peradilan g jalan. Hukum g adil kayak gitu rakyat suruh percaya ngasi duitnya ke negara??,1.80E+23,,EricRicaldo,in,,0,0,0,https://x.com/pgnpunyadolar/status/1795111169130152332,1.68E+23,pgnpunyadolar
1.80E+23,Mon May 27 12:42:19 +0000 2024,0,Harusnya jangan poll tax kayak gini. Pajaknya progresif makin tinggi penghasilan maka makin besar juga potongan. Kalau yang gajinya UMR dgn yang pendapatannya milyaran per bulan sama-sama kena potongan 3 % kan tidak adil. Dan pajak progresif akan menambah pendapatan negara,1.80E+23,,,in,,0,0,0,https://x.com/MohamadRadytio/status/1795073047172391133,1.50E+23,MohamadRadytio
